,구분,시설명,위치,위도,경도
3060,복지센터,사랑방요양원,"37.6694684351132, 127.043160675894",37.6694684351132,127.043160675894
3061,복지센터,주은요양원,"37.4771017048216, 126.898321755369",37.4771017048216,126.898321755369
3062,복지센터,목동중앙데이케어센터,"37.550038484105, 126.864413888131",37.550038484105,126.864413888131
3063,복지센터,강일성모노인요양원,"37.5578196350096, 127.178556364456",37.5578196350096,127.178556364456
3064,복지센터,동작50+센터,"37.512756878817, 126.941700638806",37.512756878817,126.941700638806
3065,복지센터,구립영등포어르신복지센터,"37.5101603904511, 126.903290530558",37.5101603904511,126.903290530558
3066,복지센터,카멜리아요양원 단기보호,"37.6137342537603, 127.076566670532",37.6137342537603,127.076566670532
3067,복지센터,카멜리아요양원,"37.6137342537603, 127.076566670532",37.6137342537603,127.076566670532
3068,복지센터,꿈에그린요양원1,"37.6630372817803, 127.04048901097",37.6630372817803,127.04048901097
3069,복지센터,구로 미가 요양원,"37.4808996260751, 126.83937984931",37.4808996260751,126.83937984931
3070,복지센터,도봉은빛요양원,"37.6630372817803, 127.04048901097",37.6630372817803,127.04048901097
3071,복지센터,강서힐링데이케어센터,"37.5525037076444, 126.826610816643",37.5525037076444,126.826610816643
3072,복지센터,서울시니어스타워(주)강남본부,"37.4714953520547, 127.095746441934",37.4714953520547,127.095746441934
3073,복지센터,영등포50플러스센터,"37.5175286381863, 126.930460204563",37.5175286381863,126.930460204563
3074,복지센터,희나리데이케어센터,"37.5059054977082, 127.109788230628",37.5059054977082,127.109788230628
3075,복지센터,사회적협동조합 강서나눔돌봄재가센터,"37.5545511514599, 126.837585216442",37.5545511514599,126.837585216442
3076,복지센터,강서사랑요양원,"37.5303911340557, 126.840822039101",37.5303911340557,126.840822039101
3077,복지센터,도봉시니어클럽,"37.6525838236507, 127.050731143404",37.6525838236507,127.050731143404
3078,복지센터,하이원빌리지,"37.5309782759738, 126.972304667752",37.5309782759738,126.972304667752
3079,복지센터,삼성요양원,"37.4610796710672, 126.925959852782",37.4610796710672,126.925959852782
3080,복지센터,햇살요양원,"37.5592796685251, 126.84571196058",37.5592796685251,126.84571196058
3081,복지센터,참사랑실버케어,"37.5475444670864, 126.849281947719",37.5475444670864,126.849281947719
3082,복지센터,주안요양원,"37.6121797843896, 126.913406723011",37.6121797843896,126.913406723011
3083,복지센터,둥지요양원,"37.6063976114138, 127.036435972117",37.6063976114138,127.036435972117
3084,복지센터,강남구립 압구정노인복지관,"37.5235325390307, 127.038168984603",37.5235325390307,127.038168984603
3085,복지센터,압구정데이케어센터,"37.5235325390307, 127.038168984603",37.5235325390307,127.038168984603
3086,복지센터,강남구립 세심정데이케어센터,"37.5079602449697, 127.030321302233",37.5079602449697,127.030321302233
3087,복지센터,학수정데이케어센터,"37.5213856688886, 127.023532294352",37.5213856688886,127.023532294352
3088,복지센터,마천데이케어센터,"37.4917642424618, 127.155638620894",37.4917642424618,127.155638620894
3089,복지센터,가족사랑요양원,"37.6444186897337, 127.021006888252",37.6444186897337,127.021006888252
3090,복지센터,서울시니어스타워(주) 서울본부,"37.5509031659541, 127.008063451732",37.5509031659541,127.008063451732
3091,복지센터,행복한노인요양원2,"37.6340697427662, 127.018655647874",37.6340697427662,127.018655647874
3092,복지센터,행복한노인요양원1,"37.6340697427662, 127.018655647874",37.6340697427662,127.018655647874
3093,복지센터,우리가족요양원 2호점,"37.5944802918229, 127.099820049228",37.5944802918229,127.099820049228
3094,복지센터,우리가족요양원 1호점,"37.5944802918229, 127.099820049228",37.5944802918229,127.099820049228
3095,복지센터,효드림요양원,"37.5785852383996, 126.910619284001",37.5785852383996,126.910619284001
3096,복지센터,소풍데이케어센터,"37.5733599020475, 127.066321768492",37.5733599020475,127.066321768492
3097,복지센터,실버캐슬요양원,"37.4729970538554, 126.897266465278",37.4729970538554,126.897266465278
3098,복지센터,다원요양원,"37.4816590599151, 126.905888016012",37.4816590599151,126.905888016012
3099,복지센터,다원요양센터,"37.4816590599151, 126.905888016012",37.4816590599151,126.905888016012
3100,복지센터,영지요양원,"37.5909676829886, 127.078334141",37.5909676829886,127.078334141
3101,복지센터,신월실버요양원,"37.5297799092428, 126.83608967949",37.5297799092428,126.83608967949
3102,복지센터,평강요양원단기보호센터,"37.5988807341502, 127.105413256553",37.5988807341502,127.105413256553
3103,복지센터,평강요양원,"37.5988807341502, 127.105413256553",37.5988807341502,127.105413256553
3104,복지센터,도우누리편안한요양원,"37.5763184787421, 127.066515708691",37.5763184787421,127.066515708691
3105,복지센터,쌍문늘푸른요양원,"37.6584359791246, 127.03260591856",37.6584359791246,127.03260591856
3106,복지센터,더행복데이케어센터,"37.5295844335341, 127.082390252214",37.5295844335341,127.082390252214
3107,복지센터,노원50플러스센터,"37.6561192611957, 127.070718016715",37.6561192611957,127.070718016715
3108,복지센터,(weforyou)위포유재활데이케어센터,"37.5577320637214, 126.84831300979",37.5577320637214,126.84831300979
3109,복지센터,송파시니어클럽,"37.5059054977082, 127.109788230628",37.5059054977082,127.109788230628
3110,복지센터,늘봄시니어케어센터,"37.502506673697, 126.884949084464",37.502506673697,126.884949084464
3111,복지센터,도봉하루요양원2호점,"37.6585407619914, 127.039129219623",37.6585407619914,127.039129219623
3112,복지센터,나이팅게일데이케어센터,"37.5210000232129, 126.854754768596",37.5210000232129,126.854754768596
3113,복지센터,THE CLASSIC 500,"37.5383625791299, 127.070921773952",37.5383625791299,127.070921773952
3114,복지센터,중랑리베데이케어센터,"37.5846436762609, 127.080124841926",37.5846436762609,127.080124841926
3115,복지센터,노블레스타워,"37.598450559746, 127.0354027589",37.598450559746,127.0354027589
3116,복지센터,마더노인요양센터,"37.5391455227, 127.146795933858",37.5391455227,127.146795933858
3117,복지센터,엘림요양원 단기보호,"37.5919509903381, 127.081968450451",37.5919509903381,127.081968450451
3118,복지센터,실버빌노인요양원2호점,"37.6518209357097, 127.038946988708",37.6518209357097,127.038946988708
3119,복지센터,(주)KB골든라이프케어 강동케어센터,"37.527877147577, 127.120450838072",37.527877147577,127.120450838072
3120,복지센터,우리엄마요양원,"37.5859942042235, 127.018731048851",37.5859942042235,127.018731048851
3121,복지센터,한가람요양원,"37.5462537856239, 126.862263586062",37.5462537856239,126.862263586062
3122,복지센터,사근동노인복지관,"37.5614995718917, 127.045325973415",37.5614995718917,127.045325973415
3123,복지센터,성동구립 사근동데이케어센터,"37.5614995718917, 127.045325973415",37.5614995718917,127.045325973415
3124,복지센터,효사랑나눔데이케어센터,"37.6610110122075, 127.075856319663",37.6610110122075,127.075856319663
3125,복지센터,실버캐슬요양타운,"37.5161816366741, 126.835833586938",37.5161816366741,126.835833586938
3126,복지센터,정원단기요양센타,"37.5988807341502, 127.105413256553",37.5988807341502,127.105413256553
3127,복지센터,정원요양원,"37.5988807341502, 127.105413256553",37.5988807341502,127.105413256553
3128,복지센터,경복궁요양센터,"37.4964780870974, 127.157436264244",37.4964780870974,127.157436264244
3129,복지센터,꿈이있는데이케어센터,"37.5910914230132, 127.080427390244",37.5910914230132,127.080427390244
