중점_위도,중점_경도
37.56010705,127.09505165
37.570070099999995,127.0882275
37.5672517,127.0895274
37.567704899999995,127.0892449
37.56866725,127.0874697
37.57081425,127.08700785
37.56727065,127.08706835
37.56367935,127.08830215
37.56783115,127.08852365
37.5627897,127.08807295
37.5624579,127.08813665
37.56122105,127.0892465
37.56098325,127.0898844
37.5593071,127.09274835
37.5598547,127.09189865
37.5497707,127.095337
37.5545105,127.09497605
37.5534914,127.09544195
37.5498523,127.09254595
37.54973405,127.09301025
37.54942,127.09299245
37.54984355,127.09290805
37.54997615,127.0925914
37.56011525,127.09541015
37.5601388,127.09597095
37.56173555,127.0891412
37.5675275,127.08856275
37.560129,127.09573685
