,구분,시설명,위치,위도,경도
0,어린이집,새벽어린이집,"37.55565806589273, 127.09252399795639",37.55565806589273,127.09252399795639
1,어린이집,자양롯데캐슬어린이집,"37.537409430909, 127.0636107298",37.537409430909,127.0636107298
2,어린이집,광진그랜드파크어린이집,"37.54464768699811, 127.080471615751",37.54464768699811,127.080471615751
3,어린이집,자양도담어린이집,"37.536210214209, 127.07989795845",37.536210214209,127.07989795845
4,어린이집,중곡하나어린이집,"37.568118555283, 127.081942327316",37.568118555283,127.081942327316
5,어린이집,샘물어린이집,"37.5298057185816, 127.085310272706",37.5298057185816,127.085310272706
6,어린이집,아이와나무어린이집,"37.55525216417907, 127.08719983689525",37.55525216417907,127.08719983689525
7,어린이집,우리아이어린이집,"37.5401522905439, 127.090837000429",37.5401522905439,127.090837000429
8,어린이집,KB구의 어린이집,"37.54517482005871, 127.08798246529096",37.54517482005871,127.08798246529096
9,어린이집,사랑모아어린이집,"37.53957251623644, 127.09704253736427",37.53957251623644,127.09704253736427
10,어린이집,행복마루어린이집,"37.527882421047394, 127.08357377385525",37.527882421047394,127.08357377385525
11,어린이집,물고기어린이집,"37.5330157011766, 127.070739307881",37.5330157011766,127.070739307881
12,어린이집,하늘땅별땅어린이집,"37.5560835364942, 127.072952162241",37.5560835364942,127.072952162241
13,어린이집,군자동 꿈모음어린이집,"37.55077133085779, 127.07135133994919",37.55077133085779,127.07135133994919
14,어린이집,자양1동 봄뜰어린이집,"37.5336205284308, 127.082818742028",37.5336205284308,127.082818742028
15,어린이집,인정어린이집,"37.5530865329897, 127.07045497917",37.5530865329897,127.07045497917
16,어린이집,능동주민센터어린이집,"37.5537684397283, 127.080550455986",37.5537684397283,127.080550455986
17,어린이집,구의1동 아이터어린이집,"37.5438552062308, 127.083785097406",37.5438552062308,127.083785097406
18,어린이집,한가람어린이집,"37.53010355989397, 127.07668293482065",37.53010355989397,127.07668293482065
19,어린이집,광진구육아종합지원센터(꾸미팡팡공동육아방 1호점),"37.5522878761659, 127.087207699978",37.5522878761659,127.087207699978
20,어린이집,강변에코비어린이집,"37.5346549908696, 127.092382639063",37.5346549908696,127.092382639063
21,어린이집,사랑숲어린이집,"37.5577612214679, 127.095629906753",37.5577612214679,127.095629906753
22,어린이집,군자티움아이어린이집,"37.5513569407392, 127.069910148701",37.5513569407392,127.069910148701
23,어린이집,수호천사어린이집,"37.5627325700875, 127.084263498106",37.5627325700875,127.084263498106
24,어린이집,이삭어린이집,"37.53104358759904, 127.07193669171741",37.53104358759904,127.07193669171741
25,어린이집,상상놀이터어린이집,"37.532065516615624, 127.08642951848586",37.532065516615624,127.08642951848586
26,어린이집,향기나무어린이집,"37.544015864528, 127.10384557935048",37.544015864528,127.10384557935048
27,어린이집,다예린어린이집,"37.547550976306, 127.104307655195",37.547550976306,127.104307655195
28,어린이집,대공원어린이집,"37.55450544320583, 127.08316778367136",37.55450544320583,127.08316778367136
29,어린이집,늘평화어린이집,"37.5659517022864, 127.083171452417",37.5659517022864,127.083171452417
30,어린이집,푸르내어린이집,"37.5583714792707, 127.089523615644",37.5583714792707,127.089523615644
31,어린이집,예랑어린이집,"37.55330567892, 127.092373968586",37.55330567892,127.092373968586
32,어린이집,지안어린이집,"37.53050451695196, 127.08331648744323",37.53050451695196,127.08331648744323
33,어린이집,꼬마사랑어린이집,"37.5627869171747, 127.078622447281",37.5627869171747,127.078622447281
34,어린이집,키즈랜드어린이집,"37.5617440557538, 127.085683961393",37.5617440557538,127.085683961393
35,어린이집,서울숲어린이집,"37.53571375175872, 127.06525552756102",37.53571375175872,127.06525552756102
36,어린이집,대서울어린이집,"37.5317161303837, 127.0742091379956",37.5317161303837,127.0742091379956
37,어린이집,진성어린이집,"37.5671637293396, 127.086668139645",37.5671637293396,127.086668139645
38,어린이집,젬마어린이집,"37.5447406856515, 127.068754293183",37.5447406856515,127.068754293183
39,어린이집,EQ어린이집,"37.54488690617704, 127.0683085874254",37.54488690617704,127.0683085874254
40,어린이집,사랑어린이집,"37.5362265199756, 127.071317113684",37.5362265199756,127.071317113684
41,어린이집,즐거운산들어린이집,"37.552736702514174, 127.09631608195586",37.552736702514174,127.09631608195586
42,어린이집,광진구청직장어린이집,"37.538572710714, 127.082412360774",37.538572710714,127.082412360774
43,어린이집,자양민들레어린이집,"37.5288219108422, 127.080039412962",37.5288219108422,127.080039412962
44,어린이집,아이스쿨어린이집,"37.5570067214011, 127.083012117563",37.5570067214011,127.083012117563
45,어린이집,꿈꾸는어린이집,"37.5638386782665, 127.084703905686",37.5638386782665,127.084703905686
46,어린이집,예일어린이집,"37.5522141014496, 127.09182035938",37.5522141014496,127.09182035938
47,어린이집,구의미소어린이집,"37.55217852384825, 127.09238276257089",37.55217852384825,127.09238276257089
48,어린이집,조은어린이집,"37.5338260769139, 127.08264699554067",37.5338260769139,127.08264699554067
49,어린이집,파크빌어린이집,"37.544310829188774, 127.10242700630491",37.544310829188774,127.10242700630491
50,어린이집,군자어린이집,"37.55456822158303, 127.07268812602848",37.55456822158303,127.07268812602848
51,어린이집,대원어린이집,"37.5556040292353, 127.088977071807",37.5556040292353,127.088977071807
52,어린이집,아이들세상어린이집,"37.559083013741905, 127.08498939147833",37.559083013741905,127.08498939147833
53,어린이집,능동어린이집,"37.553551228481, 127.081962589568",37.553551228481,127.081962589568
54,어린이집,솔로몬어린이집,"37.56656251225519, 127.08066836557187",37.56656251225519,127.08066836557187
55,어린이집,한국중앙어린이집,"37.568592240163255, 127.08483153703246",37.568592240163255,127.08483153703246
56,어린이집,효지어린이집,"37.53606999166626, 127.07384912834941",37.53606999166626,127.07384912834941
57,어린이집,키즈용맹어린이집,"37.556947087709396, 127.09176052473923",37.556947087709396,127.09176052473923
58,어린이집,용곡어린이집,"37.5617690169282, 127.086050702535",37.5617690169282,127.086050702535
59,어린이집,한울어린이집,"37.5572178251297, 127.08516269584",37.5572178251297,127.08516269584
60,어린이집,한라어린이집,"37.535054251550655, 127.06992208159487",37.535054251550655,127.06992208159487
61,어린이집,해오름어린이집,"37.5537329855446, 127.094357247146",37.5537329855446,127.094357247146
62,어린이집,구의3동어린이집,"37.5393380059055, 127.095135673377",37.5393380059055,127.095135673377
63,어린이집,영화어린이집,"37.55405460857095, 127.09772110105227",37.55405460857095,127.09772110105227
64,어린이집,화송어린이집,"37.546193501696, 127.068054039523",37.546193501696,127.068054039523
65,어린이집,사랑의어린이집,"37.5577612214679, 127.095629906753",37.5577612214679,127.095629906753
66,어린이집,예지어린이집,"37.5491047187601, 127.069446337052",37.5491047187601,127.069446337052
67,어린이집,광진어린이집,"37.5371949473543, 127.07864535429",37.5371949473543,127.07864535429
68,어린이집,신나는어린이집,"37.5413504511151, 127.088688565801",37.5413504511151,127.088688565801
69,어린이집,중곡4동어린이집,"37.559095939637174, 127.09179371815391",37.559095939637174,127.09179371815391
70,어린이집,좋은어린이집,"37.5361954598913, 127.090366046477",37.5361954598913,127.090366046477
