,시작 지점,끝 지점,연장(m)
214,노해로 195,노해로49길 10,80
215,덕릉로60길 135,덕릉로60길 135-13,240
216,해등로3길 85,창동 산107-223,150
217,우이천로38라길 4,우이천로38라길 25,160
218,덕릉로60길 109-64,덕릉로60길 109-58,670
219,우이천로38길 25,우이천로38길 100,120
220,노해로217,노해로49길 68,225
221,도봉로121길 28,도봉로121길 60,300
222,우이천로38길 88 , 우이천로38마길 34,335
223,노해로49길 26-3 ,노해로49길 52,669
224,우이천로38라길 25-4,우이천로38라길 25-54,360
225,노해로45길 17,노해로45길 26,734
226,우이천로38나길 61,우이천로38나길 38,640
227,우이천로38라길 14 , 우이천로32길 65,290
228,노해로44길 35,노해로44길 59,203
229,노해로45길 48,우이천로32길 98,200
230,노해로45길 38,노해로45길 38-24,140
231,쌍문동 산67-4,쌍문동 산83-24,65
232,도봉로127길 15 ,도봉로127길 43-10,65
233,노해로57길 20 ,노해로227,78
234,덕릉로62길 26 ,덕릉로 268,420
235,노해로221 ,노해로57길 11,620
236,노해로 198 ,노해로48길 39,352
237,노해로40길 11 , 노해로 156,430
238,노원구 월계동 950-2,월계동 666-10,480
239,노원구 월계동 429-4 ,노원구 월계동 429-9,380
240,월계동 411-47 ,월계동 428-2,352
241,신사동 192-1,신사동 222-4,90
242,홍익아파트,형진아파트,145
243,응암동 240-1,응암동 241-69,143
244,현대홈타운 104동,현대홈타운 106동,110
245,응암2동주민센터,백련산로4길 25,300
246,불광동 635-4,불광동 637-5,200
247,응암동 334-35,응암동 648,470
248,녹번동 19-46,녹번동 283,120
249,녹번동 53-35,녹번동 283,470
250,세검정로4길 91,세검정로4길 151,100
251,모래내로438,모래내로24길 23,200
252,연희로41길 135,연희로41길 167,60
253,연희로 11마길 49,연희로 11마길 75,50
254,연희로 39나길22,연희로39길54,50
255,이화여대 8길2,이화여대 8길10,70
256,수색로 8길 80,수색로 8길 62,80
257,홍은중앙로 168,홍은중앙로 133-2,70
258,연희로36길 26,연희로36길 32,120
259,명지길 33,모래내로 299,180
260,북아현로25길 30,북아현로 23길 25,411
261,명지길 143,명지2길 45,140
262,연희로 246,연희로32길 129,1300
263,연세로4길81,신촌역로43,65
264,목동중앙로3길 32 ,목동중앙로3길 30-19,85
265,목동중앙본로 17 , 목동중앙로5길 41,85
266,목동중앙로5길 49 , 목동중앙본로 27,360
267,목동중앙서로11길 11 ,목동중앙서로11길 32,380
268,목동중앙본로27길 35 , 목동중앙북로8길 94,90
269,지양로 131 , 지양로17길 24,70
270,목동남로4길 10 ,목동남로4길 6-46,100
271,목동중앙본로2길 28-41 , 목동중앙본로18길 82,50
272,신정로13길 20 ,신정로13길 51,210
273,오목로 170 , 중앙로48길 47,50
274,목동중앙북로 132 , 목동중앙로13나길 20,70
275,목동중앙북로184길4 , 목동중앙북로98,260
276,중앙로29길 110 , 신정동 1237 ,122
277,중앙로25길 21 , 중앙로25길 28,100
278,오목로38길 5 , 은행정로13길 10,50
279, 남부순환로 370 , 남부순환로54길 5,150
280,남부순환로 326 , 가로공원로61길 20-1,380
281,남부순환로 308 , 남부순환로30길 3 ,210
282,개봉동 336-9,개봉동 339-10,100
283,고척동 산8 , 고척동 234-24,70
284,고척동 98-78 , 고척동 98-25,209
285,금하로 시흥2동주민센터,벽산5단지아파트 입구,100
286,시흥동 268-35,시흥동 268-268-3,170
287,독산동182-2,독산동 181-133,85
288,독산동182-2,독산동 181-133,320
289,독산동 887-9,독산동 234-84,70
290,시흥동 937-26,시흥동 936-10,75
291,독산동 1006-69,독산동 1006-65,228
292,독산동 1006-170,독산동 1006-204,80
293,독산동 1006-96,독산동 1006-108,195
294,독산동 970-50,독산동970,165
295,시흥동 807,시흥동 806,180
296,독산동 160-5,독산동 161-2,150
297,독산동 165-11,독산동 164-1,200
298,대림로 136,디지털로69길 13,230
299,성대로11가길 21 , 성대로 117,320
300,국사봉1길 203 , 성대로6가길 152,85
301,국사봉1길 235-11 ,국사봉1길  235-14,190
302,만양로 41 ,만양로 41 26,115
303,롯데캐슬골든포레아파트 113동 , 상현중 후문,115
304,남부순환로 269길 44 ,남부순환로 269길 79,175
305,사당로 193 , 양지공원,100
306,국사봉2라길 3 , 국사봉2마길 5,120
307,만양로8길 60 , 만양로12길 53,45
308,갑을명가2차아파트 201동 , 상도3동 마을공원,70
309,성대로12길 30 , 성대로12길 57,72
310,성대로29길 79 , 성대로21길 62,84
311,흑석로9길 35 , 노량진로26길 65,56
312,동작대로35길 74 , 동작대로35아길 7,68
313,사당로14길 58 , 사당로16마길 44,70
314,사당로2가길 23 ,사당로2가길 103,40
315,신대방로16가길 22 ,신대방로16가길 35,35
316,성대로 96 , 성대로16길 21,130
317,양녕로28길 35 , 양녕로22바길 74,140
318,대방로2길 44 , 대방로6길 7,88
319,사당로22나길 34 ,사당로22나길 70,240
320,사당로2라길 63 , 사당로2길 40,120
321,노량진로32길 15 ,노량진로32길 55,70
322,만양로 79 , 만양로13길 38,72
323,상도로38길 8 ,상도로38길 24,130
324,상도로15길 55 , 등용로 37,40
325,남부순환로259길 11 , 남부순환로255나길 12,500
326,사당로8길 45 ,사당로8길 69,690
327,흑석로13마길 1 , 흑석로13길 36,70
328,사당로 56 , 사당로2길 2-19,560
329,사당로14길 22 ,사당로14길 32,340
330,흑석로5길 1-2 ,흑석로5길 12,210
331,상도로47바길 35 , 상도로47사길 4,75
332,국사봉1라길 4 , 성대로6가길 144,190
333,성대로6가길 141 , 성대로6사길 27-2,320
334,사당로20라길 34 , 남부순환로269길 125,105
335,사당로14길 48 , 사당로16라길 11,60
336,사당로 165 ,사당로 169,180
337,사당로29다길 83 , 사당로29길 85,290
338,사당로23나길 30 , 사당로29길 90,210
339,사당로13길 58 ,사당로13길 97,300
340,흑석로 12 ,흑석로 27,220
341,신대방16가길 22 , 신대방14길 23,500
342,상도로50길 34 , 상도동 415-1,250
343,만양로11길 2 ,만양로11길 22,350
344,노량진로14길 43 ,노량진로14길 55,385
345,국사봉8길 18 , 국사봉2바길 3,175
346,양녕로28길 25 , 양녕로30길 19-4,75
347,성대로21나길 2 , 성대로21길 59,170
348,쑥고개로3 , 쑥고개로21,180
349,대학길 103 ,대학20길 27,880
350,인헌6길23 , 낙성대역16길 3,285
351,국회단지길 70 , 국회단지길 124,70
352,난곡로26길 89 , 신림동 배수지,355
353,복은길 87 , 복은길 132,480
354,서림길 53 , 복은길 39,285
355,신림로 253-1 , 서원10길 2,235
356,인헌길 167 , 인헌16길 15,330
357,봉천로 297 , 봉천로21길 21,30
358,난향5길 35 , 난향5길 43,160
359,관악로 268 , 청림길 8-1,210
360,국회단지2길 29-5 , 국회단지8길 12,157
361,양녕로1길 48 , 봉천로 387,180
362,솔밭로7길1,솔밭로7길16,309
363,승방길6 , 승방길 42,200
364,신림동배수지,광신길177,185
365,법원단지21길2 , 법원단지길157,130
366,문성로246 , 문성로38길 67,150
367,대학18길 6 ,대학16길 22,170
368,신림로48길 28 , 신림로48길 56,230
369,남부순환로1678 , 남부순환로200가길 22,200
370,양녕로 29 , 양녕로5길 11,60
371,낙성대역8길 2 , 낙성대역8길 50,20
372,관악로 248 , 관악로30길 19 ,120
373,남현길 58 , 남부순환로256길 60,85
374,인헌16길 47 , 인헌16길 35,250
375,관악로28길 22 , 행운9길 34,100
376,관악로 97 , 관악11길 11,128
