,시점_위도,시점_경도,종점_위도,종점_경도,길이
157,37.5519010077818,127.005070605241,37.5514352089585,127.004651402035,70
158,37.5555755613758,127.006612164821,37.5555371347485,127.007358087928,123
159,37.5510611366006,127.006138955405,37.5507013390151,127.004821332035,200
160,37.5589328823815,126.963744471295,37.557688347731,126.963493369217,170
161,37.5570496013779,126.966115171346,37.5568944717352,126.965261105774,130
162,37.5564381790232,126.993434160651,37.5559505511598,126.993291830393,65
163,37.5542807185276,127.00518993616,37.553703450451,127.005161263935,80
164,37.5541889879484,127.005390809133,37.553703450451,127.005161263935,70
165,37.5541531089295,127.007409218495,37.5541992042377,127.006486083368,128
166,37.550482503088,127.006372369098,37.5501557315101,127.005979431157,40
167,37.5562070218295,127.007431830399,37.5555371347485,127.007358087928,92
168,37.553809583223,127.012467130706,37.5530469087049,127.013899732418,150
169,37.5496517899605,127.007753924921,37.549667263422,127.008107000134,60
170,37.5649279604204,127.022353778248,37.5647171539619,127.023605567664,140
171,37.5584656791715,126.983899874492,37.5572942597925,126.984325442507,140
172,37.5335715362552,127.001102439027,37.5347837425841,126.998867899892,470
173,37.5462583133585,126.985178825879,37.5459661292842,126.985258095042,130
174,37.5407422754533,126.996293282177,37.5407404804534,126.996523431656,100
175,37.5370842586612,126.953832975359,37.535405203389,126.953271010618,435
176,37.5508420507289,126.963866649642,37.5508997731544,126.964058438954,64
177,37.5416783175446,126.962320543272,37.5421716035022,126.963140995783,80
178,37.5260302095999,126.99697368869,37.5263454432475,126.996058572401,110
179,37.5378788064556,126.989033359409,37.5370423453118,126.990384213332,390
180,37.535532699832,126.953056072037,37.5361232538984,126.950933796667,345
181,37.5508293932257,127.01948555236,37.5516663255338,127.019515759672,160
182,37.5577093274121,127.023874528367,37.5577257428027,127.024232172299,310
183,37.549909958908,127.031101472181,37.5496275984167,127.03173202092,320
184,37.5492921564754,127.019746108479,37.5516663255338,127.019515759672,340
185,37.5513725315125,127.022906964406,37.5530604673758,127.021435595291,165
186,37.5562046295135,127.016725380867,37.5567553836342,127.019258707501,270
187,37.5458482443677,127.017621661178,37.5461187618046,127.017970594833,500
188,37.549909958908,127.031101472181,37.5499039070147,127.032167144211,230
189,37.5408496346983,127.011382906693,37.5407172617823,127.013263344536,130
190,37.549184059845,127.028831668862,37.5504319343839,127.026562609982,80
191,37.5536805217231,127.021003460867,37.5535159175109,127.019916752143,61
192,37.5526653231969,127.031360642809,37.555165788988,127.033593347592,70
193,37.5624963338002,127.026369160224,37.5634345005237,127.027341187867,50
194,37.5615293048656,127.024651500492,37.5601704775159,127.026872333283,100
195,37.5439320971177,127.015647091485,37.5420674777015,127.016319170852,460
196,37.540657325269,127.009773757089,37.5405589206299,127.010975179981,295
197,37.5462920770572,127.009879731064,37.5472989077685,127.01218936757,278
198,37.5574954945237,127.023556547484,37.5577257428027,127.024232172299,76
199,37.5493118917489,127.021776503605,37.5500683409329,127.022883592728,160
200,37.5535724161474,127.01761069145,37.553886191254,127.018478107804,229
201,37.5477722777646,127.023131846656,37.5466786700567,127.023005222053,348
202,37.546364692663,127.018243708045,37.5453535993537,127.016982767289,187
203,37.5466786700567,127.023005222053,37.5473327732677,127.02357360489,237
204,37.5530604186913,127.029941999268,37.5528767557692,127.031815785832,260
205,37.5619188387132,127.042324044658,37.5609966618026,127.045725200305,170
206,37.5577089897922,127.0293680158,37.5592073444254,127.029018314741,210
207,37.563106897438,127.028487744782,37.5638902349813,127.029179383922,220
208,37.5624963338002,127.026369160224,37.5634345005237,127.027341187867,70
209,37.5462920770572,127.009879731064,37.5472989077685,127.01218936757,67
210,37.5423782690925,127.016052082944,37.543890955719,127.015386258569,60
211,37.5426294442931,127.015554372439,37.5411141582062,127.01543830347,170
212,37.5566327168392,127.020046601326,37.5570575575624,127.01992584339,30
213,37.5562046295135,127.016725380867,37.5567553836342,127.019258707501,90
214,37.5505481318597,127.021392438543,37.5514709289034,127.021422352137,60
215,37.5532352564893,127.020958746923,37.5536805217231,127.021003460867,30
216,37.5528748648477,127.029377322573,37.5525064646397,127.028570057317,40
217,37.5480276263796,127.015358252458,37.5454476735839,127.015604973912,50
218,37.5525119833017,127.095552581844,37.553038690779,127.097008389982,150
219,37.5527503139429,127.095643195175,37.5536263946363,127.097028956609,40
220,37.570118234933,127.085110936364,37.5702346245119,127.085883629439,55
221,37.56759872711,127.088253101153,37.5672255379578,127.090038703873,50
222,37.5683099321624,127.086604834602,37.5682396105563,127.08944317273,30
223,37.5699793510196,127.086407091024,37.5698886396351,127.088329606231,30
224,37.5694441209076,127.086337197682,37.5692538216305,127.088539171407,60
225,37.5633936413067,127.087226755905,37.5635794212282,127.088445189392,70
226,37.5544584320115,127.094740682557,37.554098001033,127.096339110086,450
227,37.5551290899361,127.093439817602,37.5561336396539,127.094985788703,60
228,37.5548977135453,127.093667571274,37.5559342021472,127.095267565304,30
229,37.5534280595154,127.095178478827,37.553634204998,127.095405195316,240
230,37.5561336396539,127.094985788703,37.5564524016061,127.09466273962,30
231,37.559341957888,127.092886765247,37.558902395127,127.09249971485,270
232,37.5680342564331,127.085203080729,37.5682650750847,127.085350494178,100
233,37.5707258119851,127.086425498827,37.5707098741828,127.088118559191,200
234,37.561825614027,127.085907025253,37.5621173406993,127.08629954075,100
235,37.5498788009617,127.09512575723,37.550193768318,127.096264148519,125
236,37.5492681737865,127.088428955474,37.5492533566849,127.088001065043,40
237,37.5333098494169,127.077255650486,37.5333937876458,127.07717144777,40
238,37.53249516826,127.083981354795,37.5320539362082,127.084124658416,100
239,37.5342900647094,127.076259773151,37.5344740066757,127.076325356314,100
240,37.5539425293948,127.079059048857,37.5537867152999,127.078971629556,130
241,37.5503995596063,127.109302231042,37.5496541994049,127.108873720121,150
242,37.5460011335625,127.104754397546,37.5457769477884,127.104468810786,70
243,37.5494562524434,127.092837038883,37.5496295853619,127.092975880407,130
244,37.5469073922244,127.070613019409,37.5468986668621,127.070438178343,80
245,37.5540171153721,127.09707993751,37.5534977220073,127.097150900616,70
246,37.561861888647,127.088636701968,37.5617967380574,127.089365183287,110
247,37.5422426026657,127.083778087725,37.542235073752,127.08321253884,55
248,37.5780669496403,127.062216395337,37.5784100514433,127.065051750943,150
249,37.5843373803526,127.031401775824,37.5840401880065,127.031904785675,90
250,37.5860146719888,127.067203313457,37.5863320306741,127.067152310071,200
