,설치구간,연장(m)
0,다산로36길 100(다산로36길),305
1,난계로 130(난계로10길),105
2,동호로5길(상부),155
3,한남대로20길(독서당로89),44
4,"옥수초 정문 앞
(금호로1길 27)",5
5,"옥수교회 주변
(독서당로 227)",135
6,"옥수종합복지관 앞
(한림말길 16-5)",30
7,"신금호두산의브 @ 앞
(행당로 27)",40
8,행당로 75,40
9,행당동 344,350
10,왕십리로31길 20,50
11,난계로 100,330
12,중곡동 176-1,76
13,아차산로78길 90,140
14,아차산로78가길 17,140
15,청량리동 206-19,160
16,청량리동 11-5,20
17,휘경동 369,40
18,답십리동 75-24,15
19,면목로 327(버스정류장),10
20,사가정로 387(버스정류장),10
21,동일로126가길 11,50
22,망우로91길(망우동 산 56-1),230
23,동소문로28길∼26마길 59,80
24,길음로 142,200
25,성북로4길 177,116
26,"노해로35길 113(교량, 쌍문414앞교)",26
27,"노해로35길 61(교량, 계성교)",36
28,도봉로34길 66,20
29,"솔샘터널 상단 회차구간(일방통행 1차로, 마을버스 통행구간)",300
30,삼양로63가길 3,70
31,도봉로117길(둥근달어린이공원),20
32,도동봉로113길(쌍문시장 입구),50
33,노해로44길(쌍문3동 주민센터),30
34,우이천로48길 63,37
35,노해로 267,18
36,노해로46길 71 주변,26
37,노해로41가길 17 주변,110
38,도봉산4길 28-3 주변,110
39,덕릉로63가길 43 주변,125
40,해등로 3길 63,200
41,노원구 중계동 129-2,150
42,노원구 상계동 1270,120
