,설치구간,연장(m)
88,천왕동 14-113 주변,240
89,오류동 118-6(경인로 6길),220
90,구로동 1282 주변,180
91,남구로역 주변 구로동로18길 외 3,710
92,시흥동 1010-11,320
93,시흥동 산138-6,280
94,독산동 917-7,250
95,시흥동 703-1,620
96,영신로 9길,580
97,도영로 80,160
98,도영로 22길 31,240
99,영신로9나길,90
100,신길로42길 1,174
101,가마산로 79길,126
102,여의대방로 45길 12,100
103,사당로 90,50
104,신상도지하차도(상부도로),405
105,등용로 37 래미안아파트,130
106,봉천동 1712-11,160
107,"남부순환로(양재동11-13 앞, 보도)",25
108,서운로(서초동 1344-14)보도,9
109,서운로(서초동 1359)보도,9
110,서초대로53길(서초동 1698-2),62
111,명달로1길 51(방배동 998),85
112,고무래로(서초동 1684),380
113,사임당로17길(서초동 1642-33),100
114,원명초교 앞(서초4동 1685-1),180
115,"논현로 105길, 봉은사로 10길(봉은사로 120)",150
116,학동로 73길(학동로 431),50
117,도곡로 28길(도곡로 216),50
118,테헤란로 13길(테헤란로 131),45
119,역삼로 52길(영동근린공원 앞(역삼동 755-7)),30
120,선릉로 130길(선릉로 130길 33),35
121,테헤란로 68길(테헤란로 416),40
122,영동대로 65길(도곡로 93길 23(르엘아파트 101동 앞)),65
123,봉은사로 7길(논현동 196 옆 계단),40
124,거여동 696-5,70
125,가락동 513-1,300
126,"명일역 주변(양재대로 145길, 양재대로 143길, 양재대로 141길)",345
127,길동 38-9(신명초교 정문 앞),90
128,구천면로 68가길(성덕여중 앞),124
