열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
1,,37.5568451372008,127.019986222358,0.745088299837944,150.31062781666515,37.5566327168392,127.020046601326,37.5570575575624,127.01992584339,30,1,금호동1가,성동구 금호동1가 1813,0,성동구
2,,37.540659327679606,127.0128538410465,7.206273605405873,0.0,37.5408516354883,127.012951410224,37.5404670198709,127.012756271869,30,1,옥수동,성동구 옥수동 204-7,0,성동구
3,,37.549768778662354,127.0314167465505,8.293477709356798,136.18222273007854,37.549909958908,127.031101472181,37.5496275984167,127.03173202092,320,1,응봉동,성동구 응봉동 205-31,0,성동구
4,,37.5563871335287,127.0311233933845,3.7465070250200663,230.10261958915584,37.557200803801,127.030175893046,37.5555734632564,127.032070893723,240,1,행당동,성동구 행당동 346-9,0,성동구
5,,37.556221160392894,127.0336342805015,1.6860261571177555,123.95405330909888,37.5563934779062,127.033311867144,37.5560488428796,127.033956693859,80,1,행당동,성동구 행당동 376-4,0,성동구
6,,37.5537293037007,127.018044399627,14.896704417805706,69.08777979560301,37.5535724161474,127.01761069145,37.553886191254,127.018478107804,229,1,금호동2가,성동구 금호동2가 1-2,0,성동구
7,,37.5496901163409,127.0223300481665,8.2518017436581,182.45116442315057,37.5493118917489,127.021776503605,37.5500683409329,127.022883592728,160,1,금호동3가,성동구 금호동3가 702,0,성동구
8,,37.5534578891062,127.020981103895,2.3168451055034,118.94976667161448,37.5532352564893,127.020958746923,37.5536805217231,127.021003460867,30,1,금호동2가,성동구 금호동2가 1214,0,성동구
9,,37.563498566209645,127.028833564352,5.7224274478996815,116.69547494696896,37.563106897438,127.028487744782,37.5638902349813,127.029179383922,220,1,하왕십리동,성동구 하왕십리동 890-406,0,성동구
10,,37.54980799711445,127.027697139422,5.291171111840717,148.15334746860873,37.549184059845,127.028831668862,37.5504319343839,127.026562609982,80,1,금호동1가,성동구 금호동1가 1453,0,성동구
11,,37.560363766600005,127.024255329425,0.5871528505879899,127.2912162167363,37.5591982283344,127.023859158358,37.5615293048656,127.024651500492,330,1,하왕십리동,성동구 난계로 100,1,성동구
12,,37.5631162227741,127.0271465072945,9.004845464572565,142.24279353121415,37.5632479494609,127.027533987194,37.5629844960873,127.026759027395,50,1,하왕십리동,성동구 왕십리로31길 20,1,성동구
13,,37.55481984883925,127.0331210953215,6.004418785180271,235.04334026054136,37.5552686461713,127.033405300099,37.5543710515072,127.032836890544,350,1,행당동,성동구 독서당로 441,1,성동구
14,,37.55663396273415,127.02769826051347,4.765056604274437,116.03623418308668,37.5566654559853,127.027875843981,37.556602469483,127.027520677046,40,1,행당동,성동구 행당로 75,1,성동구
15,,37.5558684997837,127.0224954812515,7.1198871265585,159.32167554931195,37.5557032968507,127.022758334778,37.5560337027167,127.022232627725,40,1,금호동1가,성동구 행당로 27,1,성동구
16,,37.54545969035845,127.014957532546,4.493996016532,145.75878548503732,37.5460598514009,127.013847173899,37.544859529316,127.016067891193,135,1,옥수동,성동구 매봉길 15,1,성동구
17,,37.54610403065525,127.0224373865435,4.096997277361944,117.6680611930524,37.5455293912538,127.021869551034,37.5466786700567,127.023005222053,5,1,금호동4가,성동구 금호로1길 25,1,성동구
18,,37.5508610948753,127.0302446349625,8.900685975294598,199.71725477129033,37.5497977040106,127.030020362088,37.55192448574,127.030468907837,350,1,응봉동,성동구 독서당로 377,1,성동구
19,,37.557610618663205,127.0238943598915,3.6855713320658854,154.8511374270938,37.5574954945237,127.023556547484,37.5577257428027,127.024232172299,76,1,금호동1가,성동구 행당로1길 13,1,성동구
20,,37.546795492412855,127.011034549317,8.261112217403037,138.07059794677005,37.5462920770572,127.009879731064,37.5472989077685,127.01218936757,278,1,옥수동,"성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)",1,성동구
21,,37.54060812294945,127.010374468535,11.877009693441057,155.79670582429335,37.540657325269,127.009773757089,37.5405589206299,127.010975179981,295,1,옥수동,성동구 독서당로39길 38,1,성동구
22,,37.5429997874096,127.0159831311685,4.9344488052594055,192.28988221211583,37.5439320971177,127.015647091485,37.5420674777015,127.016319170852,460,1,옥수동,성동구 한림말1길 17-14 (옥수동),1,성동구
23,,37.56084989119075,127.02576191688748,7.069166605407872,126.62790733498376,37.5615293048656,127.024651500492,37.5601704775159,127.026872333283,100,1,하왕십리동,성동구 난계로 114-31,1,성동구
