Unnamed: 0,행정동,노선명,기점,종점,열선연장(m) (1차로 기준),차로수,기점_좌표_위도,기점_좌표_경도,종점_좌표_위도,종점_좌표_경도,열선_중앙_위도,열선_중앙_경도,시작점_고도,종료점_고도,고도의_차이
0,구의2동,동의초 통학로,구의2동 34-8,구의2동 81-3,278,2,37.5525119833017,127.095552581844,37.553038690779,127.097008389982,37.552775337040345,127.096280485913,49.22439956665039,68.67851257324219,19.454113006591797
1,구의2동,동의초 통학로,구의2동 23-26,구의2동 23-30,76,2,37.5527503139429,127.095643195175,37.5536263946363,127.097028956609,37.5531883542896,127.096336075892,49.54040908813477,65.58493041992188,16.044521331787102
2,중곡4동,용곡초 통학로,용마산로22길 82,용마산로22길 82,76,1,37.5671086161443,127.088452984118,37.5671086161443,127.088452984118,37.5671086161443,127.088452984118,61.18788909912109,61.18788909912109,0.0
3,중곡3동,용마산로33길,중곡3동 194-19,중곡3동 608-6,160,2,37.570118234933,127.085110936364,37.5702346245119,127.085883629439,37.57017642972245,127.0854972829015,32.47560882568359,39.36871337890625,6.893104553222663
4,광장동,광진정보도서관,아차산로78길 90,아차산로78길 90,140,2,37.5510729137918,127.110615495296,37.5510729137918,127.110615495296,37.5510729137918,127.110615495296,17.13663291931152,17.13663291931152,0.0
5,광장동,현대리버빌 앞,아차산로78가길 17,아차산로78가길 17,140,2,37.5494236463188,127.109930112048,37.5494236463188,127.109930112048,37.5494236463188,127.109930112048,22.34831237792969,22.34831237792969,0.0
6,중곡4동,용암사입구,중곡4동 176-144,중곡4동 176-42,229,1~1.5,37.56759872711,127.088253101153,37.5672255379578,127.090038703873,37.5674121325339,127.089145902513,49.84997177124023,79.41486358642578,29.564891815185554
7,중곡4동,뻥튀기골,중곡4동 297-6,중곡4동 176-110,348,1.5,37.5683099321624,127.086604834602,37.5682396105563,127.08944317273,37.56827477135935,127.088024003666,31.77592658996582,73.93414306640625,42.15821647644043
8,중곡4동,용마산로34길,중곡4동 289-2,중곡4동 287-2,187,1,37.5699793510196,127.086407091024,37.5698886396351,127.088329606231,37.56993399532735,127.0873683486275,41.06290054321289,68.14154815673828,27.07864761352539
9,중곡4동,용마산로32길,중곡4동 289-10,중곡4동 294-1,237,1,37.5694441209076,127.086337197682,37.5692538216305,127.088539171407,37.56934897126905,127.08743818454452,36.33494567871094,73.17015838623047,36.83521270751953
10,중곡4동,대원외고 앞,중곡4동 21-11,중곡4동 271-1,260,2,37.5633936413067,127.087226755905,37.5635794212282,127.088445189392,37.56348653126745,127.08783597264848,33.65242767333984,49.52387237548828,15.871444702148445
11,구의2동,영화사로16길,구의2동 143-1,구의2동 21-32,170,1,37.5544584320115,127.094740682557,37.554098001033,127.096339110086,37.55427821652225,127.0955398963215,45.82272338867188,65.4946060180664,19.671882629394524
12,구의2동,영화사로11길,구의2동 556-6,구의2동 549-3,210,1,37.5551290899361,127.093439817602,37.5561336396539,127.094985788703,37.555631364795005,127.0942128031525,43.04014587402344,68.51651763916016,25.47637176513672
13,구의2동,영화사로13길,구의2동 558-11,구의2동 551-2,220,1,37.5548977135453,127.093667571274,37.5559342021472,127.095267565304,37.55541595784625,127.094467568289,43.24272155761719,69.69528198242188,26.452560424804688
14,구의2동,영화사로16가길,구의2동 22-34,구의2동 22-27,50,1,37.5534280595154,127.095178478827,37.553634204998,127.095405195316,37.553531132256694,127.0952918370715,53.82555770874023,61.82525253295898,7.99969482421875
15,구의2동,영화사로9가길,구의2동 549-3,중곡4동 104-11,70,1,37.5561336396539,127.094985788703,37.5564524016061,127.09466273962,37.55629302063,127.0948242641615,68.51651763916016,62.54130935668945,5.975208282470703
16,중곡4동,긴고랑로41길,중곡4동 70-12,중곡4동 69-5,67,1,37.559341957888,127.092886765247,37.558902395127,127.09249971485,37.5591221765075,127.0926932400485,48.70567321777344,31.85717964172363,16.84849357604981
17,중곡3동,능동로55길,중곡3동 168-1,중곡3동 169-11,60,2,37.5680342564331,127.085203080729,37.5682650750847,127.085350494178,37.5681496657589,127.0852767874535,30.12018966674805,30.53824234008789,0.4180526733398402
18,중곡4동,용마산로36길,중곡4동 605-1,중곡4동 599-2,170,1,37.5707258119851,127.086425498827,37.5707098741828,127.088118559191,37.570717843083955,127.087272029009,38.66330718994141,68.58869934082031,29.9253921508789
19,중곡2동,능동로48길,중곡2동 36-2,중곡2동 35-2,30,1,37.561825614027,127.085907025253,37.5621173406993,127.08629954075,37.56197147736315,127.0861032830015,24.1268367767334,26.14464378356934,2.017807006835941
20,구의2동,자양로44길 구의2동 어린이집,구의2동 43-11,구의2동 36-20,90,1,37.5498788009617,127.09512575723,37.550193768318,127.096264148519,37.55003628463985,127.0956949528745,58.64153671264648,69.54862976074219,10.90709304809571
21,자양1동,자양로13다길 경복초 통학로,자양1동 609-17,자양1동 609-16,30,2,37.5333098494169,127.077255650486,37.5333937876458,127.07717144777,37.53335181853135,127.077213549128,18.08988952636719,18.06273078918457,0.02715873718262074
22,자양1동,자양로13다길,자양1동 609-17,자양1동 609-16,30,2,37.5333098494169,127.077255650486,37.5333937876458,127.07717144777,37.53335181853135,127.077213549128,18.08988952636719,18.06273078918457,0.02715873718262074
23,자양1동,뚝섬로59길,자양1동 659-20,자양1동 659-32,40,1,37.53249516826,127.083981354795,37.5320539362082,127.084124658416,37.5322745522341,127.0840530066055,18.46565818786621,18.00543403625488,0.4602241516113317
24,자양1동,자양번영로8길,자양1동 610,자양1동 611-5,25,1,37.5342900647094,127.076259773151,37.5344740066757,127.076325356314,37.53438203569255,127.0762925647325,16.87947082519531,17.32820701599121,0.448736190795902
25,능동,능동로30길23,능동 320-56,능동 320-58,50,2,37.5539425293948,127.079059048857,37.5537867152999,127.078971629556,37.55386462234735,127.0790153392065,19.28228187561035,19.61886787414551,0.3365859985351598
26,광장동,아차산로78길12,광장동 121,광장동 148-4,150,2,37.5503995596063,127.109302231042,37.5496541994049,127.108873720121,37.550026879505594,127.1090879755815,33.90604400634766,30.55426025390625,3.3517837524414134
27,광장동,아차산로75길,광장동 244-24,광장동 241-1,40,2,37.5460011335625,127.104754397546,37.5457769477884,127.104468810786,37.54588904067545,127.104611604166,17.6750431060791,17.12389945983887,0.5511436462402308
