도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부,행정동
경인로90길,주거지 도로,37.5142511,126.9005307,37.5137428,126.9008079,37.513996950000006,126.9006693,61.585223743206576,,,,"[1258912468, 277174348]",,,,,문래동
경인로78길,3차로,37.5120623,126.8941525,37.5116731,126.8944463,37.5118677,126.8942994,50.97113702213372,,,,277174146,,,,,문래동
경인로78길,3차로,37.5120623,126.8941525,37.5122944,126.8938581,37.51217835,126.8940053,36.61177673243295,,,,277174146,,,,,문래동
경인로75길,주거지 도로,37.5118637,126.8935855,37.5118358,126.8936872,37.51184975,126.89363635,9.535270380786097,,,,277174143,,,,,문래동
경인로75길,주거지 도로,37.5118637,126.8935855,37.5122256,126.8928654,37.51204465,126.89322545,75.33384281114381,,,,277174143,,,,,문래동
경인로75길,주거지 도로,37.5118103,126.8937203,37.5118358,126.8936872,37.51182305,126.89370375,4.06982965281965,,,,277174143,,,,,문래동
경인로76길,주거지 도로,37.5118103,126.8937203,37.5114687,126.8939504,37.5116395,126.89383535,43.13535609580634,,,,277174173,,,,,문래동
경인로74길,주거지 도로,37.5113788,126.8928205,37.5110448,126.8931003,37.5112118,126.8929604,44.61413324031836,,,,277174192,,,,,문래동
경인로82길,주거지 도로,37.5127724,126.8961507,37.5123522,126.8963848,37.5125623,126.89626775,51.097006168516025,,,,277173818,,,,,문래동
경인로,주거지 도로,37.5127724,126.8961507,37.5132717,126.8958814,37.51302205,126.89601605,60.40029921998649,,,,277173820,,,,,문래동
경인로,주거지 도로,37.5061937,126.8840977,37.5071042,126.8835724,37.50664895,126.88383505,113.62992937566943,,,,164656888,,,,,신도림동
경인로62길,주거지 도로,37.5061964,126.8843281,37.5058636,126.8846642,37.50603,126.88449615,47.491668914638986,,,,468577890,,,,,신도림동
경인로62길,주거지 도로,37.5065662,126.8848716,37.5062431,126.8850977,37.50640465,126.88498465,41.14493838733013,,,,468577894,,,,,신도림동
경인로62길,,37.5068064,126.8850039,37.5058036,126.8836124,37.506305,126.88430815,166.3226504202265,,,,1325584173,,,True,,신도림동
경인로,주거지 도로,37.4973462,126.8640144,37.4973034,126.8640682,37.4973248,126.8640413,6.72133456449819,,,,250076016,,,,,고척1동
경인로,주거지 도로,37.4973462,126.8640144,37.4978679,126.8633581,37.49760705,126.86368625,81.96017831574008,,,,250076016,,,,,고척1동
경인로,주거지 도로,37.4969973,126.8595504,37.4969421,126.8595402,37.496969699999994,126.8595453,6.203578685267002,,,,1106740499,,,,,개봉1동
경인로,주거지 도로,37.4969973,126.8595504,37.4983146,126.8586117,37.497655949999995,126.85908105,180.42134326488355,,,,1106740499,,,,,고척1동
경인로,주거지 도로,37.4969421,126.8595402,37.4969973,126.8595504,37.496969699999994,126.8595453,6.203578685267002,,,,1106740499,,,,,개봉1동
경인로,주거지 도로,37.4969421,126.8595402,37.4969073,126.8595313,37.496924699999994,126.85953575,3.948442752981345,,,,1106740499,,,,,개봉1동
경인로,,37.4969421,126.8595402,37.4973569,126.8565561,37.4971495,126.85804815,268.03031785045994,,,,1258900419,,,True,,개봉1동
경인로,주거지 도로,37.4969073,126.8595313,37.4969421,126.8595402,37.496924699999994,126.85953575,3.948442752981345,,,,1106740499,,,,,개봉1동
경인로,주거지 도로,37.4969073,126.8595313,37.4968653,126.859525,37.4968863,126.85952815,4.703148970748021,,,,1106740499,,,,,개봉1동
경인로,,37.4969073,126.8595313,37.4966687,126.8628317,37.496787999999995,126.8611815,295.52767085539574,,,,1258900417,,,True,,개봉1동
경인로,주거지 도로,37.4968653,126.859525,37.4969073,126.8595313,37.4968863,126.85952815,4.703148970748021,,,,1106740499,,,,,개봉1동
경인로40길,주거지 도로,37.4968653,126.859525,37.4954937,126.8590359,37.4961795,126.85928045,158.5439030267883,,,,"[249663051, 1106740499]",,,,,개봉1동
경인로42길,주거지 도로,37.4966103,126.8612574,37.4947825,126.8606197,37.4956964,126.86093855,210.9970930358534,,,,"[1258921410, 249663053]",,,,,개봉1동
경인로46길,주거지 도로,37.4977456,126.8648063,37.4956055,126.8652193,37.496675550000006,126.8650128,240.75512066704337,,,,"[1258921411, 249663431]",,,,,고척1동
경인로47길,주거지 도로,37.4996642,126.8675308,37.4996283,126.8675533,37.49964625,126.86754205,4.458148569787448,,,,465796461,,,,,고척1동
경인로47길,주거지 도로,37.4996642,126.8675308,37.5001007,126.8670053,37.49988245,126.86726805,67.831303569049,,,,465796461,,,,,고척1동
경인로47길,주거지 도로,37.4995549,126.8676336,37.4995823,126.8676078,37.4995686,126.8676207,3.8030100353263343,,,,465796461,,,,,고척1동
경인로53길,주거지 도로,37.5012643,126.8772155,37.5028361,126.8755132,37.5020502,126.87636435,233.2014409835496,,,,"[1258921413, 250488582]",,,,,구로2동
경인로53길,,37.4981182,126.865036,37.4966967,126.8627904,37.49740745,126.8639132,257.6639368762788,,,,1258900419,,,True,,고척1동
경인로47길,주거지 도로,37.4996283,126.8675533,37.4995823,126.8676078,37.4996053,126.86758055,7.019857039594008,,,,465796461,,,,,고척1동
경인로47길,주거지 도로,37.4996283,126.8675533,37.4996642,126.8675308,37.49964625,126.86754205,4.458148569787448,,,,465796461,,,,,고척1동
경인로47길,,37.4996283,126.8675533,37.4981182,126.865036,37.49887325,126.86629465,284.22249637941945,,,,1258900419,,,True,,고척1동
경인로47길,,37.4995722,126.8687019,37.4996283,126.8675533,37.49960025,126.8681276,102.83275178121976,,,,1258900419,,,True,,고척1동
경인로47길,,37.4995145,126.8689585,37.4995722,126.8687019,37.49954335,126.8688302,23.528301809669948,,,,1258900419,,,True,,고척1동
경인로47길,,37.4989605,126.8716831,37.4995145,126.8689585,37.4992375,126.8703208,248.21673771303352,,yes,,"[1258921417, 1258921418, 1258900419]",,,True,,구로2동
경인로47길,,37.4989521,126.8720205,37.4989605,126.8716831,37.4989563,126.8718518,29.779480576433887,,,,1258921418,,,True,,구로2동
경인로47길,,37.5017654,126.8780538,37.4989521,126.8720205,37.50035875,126.87503715,625.7661934016538,,,,1258921418,,,True,,구로2동
경인로47길,,37.4989096,126.8720051,37.5017399,126.8780894,37.50032475,126.87504725,631.5221728983003,,,,1258921419,,,True,,구로2동
경인로47길,,37.4989186,126.8716693,37.4989096,126.8720051,37.4989141,126.8718372,29.64059549178154,,,,1258921419,,,True,,구로2동
경인로47길,,37.4994617,126.8689363,37.4989186,126.8716693,37.49919015,126.8703028,248.66372080706824,,yes,,"[1258900417, 1258921419, 1258921420]",,,True,,구로2동
경인로47길,,37.4995235,126.8686781,37.4994617,126.8689363,37.4994926,126.8688072,23.791800156507733,,,,1258900417,,,True,,고척1동
경인로47길,주거지 도로,37.4995823,126.8676078,37.4995549,126.8676336,37.4995686,126.8676207,3.8030100353263343,,,,465796461,,,,,고척1동
경인로47길,주거지 도로,37.4995823,126.8676078,37.4996283,126.8675533,37.4996053,126.86758055,7.019857039594008,,,,465796461,,,,,고척1동
경인로47길,,37.4995823,126.8676078,37.4995235,126.8686781,37.4995529,126.86814295,95.88404253859176,,,,1258900417,,,True,,고척1동
경인로47길,,37.4980729,126.8650807,37.4995823,126.8676078,37.4988276,126.86634425,285.3451359470912,,,,1258900417,,,True,,고척1동
경인로47길,주거지 도로,37.50666,126.8850095,37.5066161,126.8850569,37.50663805,126.8850332,6.427316981448208,,,,1258921425,,,,,신도림동
경인로47길,,37.5114532,126.8929757,37.5118358,126.8936872,37.5116445,126.89333145,76.10634690321946,,,,1325584158,,,True,,문래동
경인로47길,주거지 도로,37.4967355,126.862741,37.4966967,126.8627904,37.4967161,126.8627657,6.132447602842469,,,,1258921434,,,,,고척1동
경인로47길,주거지 도로,37.4967355,126.862741,37.4972292,126.8621133,37.49698235,126.86242715,77.975561337033,,,,1258921434,,,,,고척1동
경인로47길,주거지 도로,37.4966967,126.8627904,37.4966687,126.8628317,37.4966827,126.86281105,4.792589269958157,,,,1258921434,,,,,고척1동
경인로47길,주거지 도로,37.4966967,126.8627904,37.4967355,126.862741,37.4967161,126.8627657,6.132447602842469,,,,1258921434,,,,,고척1동
경인로47길,,37.4966967,126.8627904,37.4969421,126.8595402,37.4968194,126.8611653,290.8128521981742,,,,1258900419,,,True,,개봉1동
경인로47길,주거지 도로,37.4966687,126.8628317,37.4966251,126.8628795,37.4966469,126.8628556,6.425487755501963,,,,1258921434,,,,,고척1동
