도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부,행정동
천호옛길,주거지 도로,37.5319744,127.122138,37.5312913,127.1233556,37.53163285,127.1227468,132.01111148409615,,,,382453938,,,,,성내1동
성내로3길,주거지 도로,37.5312913,127.1233556,37.531173,127.123215,37.53123215,127.1232853,18.076255955924506,,,,382453936,,,,,성내1동
성내로3길,주거지 도로,37.5312913,127.1233556,37.5313813,127.1234485,37.5313363,127.12340205,12.97559949316304,,,,382453936,,,,,성내1동
천호옛길,주거지 도로,37.5312913,127.1233556,37.5319744,127.122138,37.53163285,127.1227468,132.01111148409615,,,,382453938,,,,,성내1동
성내로3길,주거지 도로,37.5316165,127.1236467,37.5313813,127.1234485,37.5314989,127.1235476,31.455322711891004,,,,382453936,,,,,성내1동
성내로3길,주거지 도로,37.5316165,127.1236467,37.5322971,127.124112,37.5319568,127.12387935,86.46488949104383,,,,382453936,,,,,성내1동
성내로5길,주거지 도로,37.5316165,127.1236467,37.5313987,127.1241192,37.5315076,127.12388295,48.19225894845648,,,,382453940,,,,,성내1동
성내로5길,주거지 도로,37.5313987,127.1241192,37.5312055,127.1239888,37.5313021,127.124054,24.366657907447955,,,,382453940,,,,,성내1동
성내로5길,생활도로,37.5313987,127.1241192,37.5314825,127.1241528,37.5314406,127.124136,9.777848302743962,,,,474396601,,,,,성내1동
성내로5길,주거지 도로,37.5313987,127.1241192,37.5316165,127.1236467,37.5315076,127.12388295,48.19225894845648,,,,382453940,,,,,성내1동
성내로3길,주거지 도로,37.5309526,127.1228602,37.531173,127.123215,37.5310628,127.1230376,39.74228226373081,,,,382453936,,,,,성내1동
성내로3가길,주거지 도로,37.5309526,127.1228602,37.5306397,127.1235648,37.53079615,127.1232125,71.21053333676059,,,,382453942,,,,,성내1동
성내로3길,주거지 도로,37.5309526,127.1228602,37.5307423,127.1224404,37.53084745,127.1226503,43.97414535346888,,,,382453936,,,,,성내1동
성내로5길,주거지 도로,37.5306397,127.1235648,37.5303355,127.1233325,37.5304876,127.12344865,39.54465340798988,,,,382453940,,,,,성내1동
성내로5길,주거지 도로,37.5306397,127.1235648,37.5308993,127.123763,37.530769500000005,127.1236639,33.74491875784653,,,,382453940,,,,,성내1동
성내로3가길,주거지 도로,37.5306397,127.1235648,37.530418,127.1240466,37.53052885,127.1238057,49.119667001451845,,,,382453942,,,,,성내1동
성내로3가길,주거지 도로,37.5306397,127.1235648,37.5309526,127.1228602,37.53079615,127.1232125,71.21053333676059,,,,382453942,,,,,성내1동
성내로15길,주거지 도로,37.5283133,127.1286587,37.5279455,127.1284946,37.5281294,127.12857665,43.382233943803925,,,,382453986,,,,,성내1동
