,Unnamed: 0.1,행정동,노선명,기점,종점,기점_좌표_위도,기점_좌표_경도,종점_좌표_위도,종점_좌표_경도,열선_중앙_위도,열선_중앙_경도,시작점_고도,종료점_고도,고도의_차이,경사각,Unnamed: 0,열선연장(m) (1차로 기준),차로수,최근접_시설들_거리,최근접_시설의_평균거리
0,0,구의2동,동의초 통학로,구의2동 34-8,구의2동 81-3,37.5525119833017,127.095552581844,37.553038690779,127.097008389982,37.552775337040345,127.096280485913,49.22439956665039,68.67851257324219,19.454113006591797,7.851888438100974,0,278,2,"69.65804465921263 ,129.2610924527404 ,233.10440288922752 ,199.21108881314714 ,289.4507221532783",184.1370701935212
1,1,구의2동,동의초 통학로,구의2동 23-26,구의2동 23-30,37.5527503139429,127.095643195175,37.5536263946363,127.097028956609,37.5531883542896,127.096336075892,49.54040908813477,65.58493041992188,16.044521331787102,5.862992905768745,1,76,2,"77.39515409637183 ,117.20156943020137 ,194.49670989697435 ,235.81833820454924 ,296.9583391993342",184.37402216548622
2,2,중곡4동,용곡초 통학로,용마산로22길 82,용마산로22길 82,37.5671086161443,127.088452984118,37.5671086161443,127.088452984118,37.5671086161443,127.088452984118,61.18788909912109,61.18788909912109,0.0,0.0,2,76,1,"11.861883627274176 ,118.1833782002157 ,130.76179348174512 ,157.43103340406742 ,229.1442265968557",129.47646306203163
3,3,중곡3동,용마산로33길,중곡3동 194-19,중곡3동 608-6,37.570118234933,127.085110936364,37.5702346245119,127.085883629439,37.57017642972245,127.0854972829015,32.47560882568359,39.36871337890625,6.893104553222663,5.678818466650213,3,160,2,"166.02982119449123 ,204.81680010958777 ,348.3980011127383 ,359.76901969550124 ,385.4868292005081",292.9000942625653
4,4,광장동,광진정보도서관,아차산로78길 90,아차산로78길 90,37.5510729137918,127.110615495296,37.5510729137918,127.110615495296,37.5510729137918,127.110615495296,17.13663291931152,17.13663291931152,0.0,0.0,4,140,2,"401.2254348225967 ,680.1498117474483 ,791.3464082340413 ,882.6372211071008 ,985.8930470554287",748.2503845933231
5,5,광장동,현대리버빌 앞,아차산로78가길 17,아차산로78가길 17,37.5494236463188,127.109930112048,37.5494236463188,127.109930112048,37.5494236463188,127.109930112048,22.34831237792969,22.34831237792969,0.0,0.0,5,140,2,"215.78981303326972 ,537.635849184358 ,659.6190236680787 ,805.8115116123075 ,754.0112782263592",594.5734951448746
6,6,중곡4동,용암사입구,중곡4동 176-144,중곡4동 176-42,37.56759872711,127.088253101153,37.5672255379578,127.090038703873,37.5674121325339,127.089145902513,49.84997177124023,79.41486358642578,29.56489181518555,10.295554296846246,6,229,1~1.5,"129.4181315175887 ,157.02201739271877 ,270.79617571495993 ,297.1523251452787 ,374.9484819365737",245.86742634142396
7,7,중곡4동,뻥튀기골,중곡4동 297-6,중곡4동 176-110,37.5683099321624,127.086604834602,37.5682396105563,127.08944317273,37.56827477135935,127.088024003666,31.77592658996582,73.93414306640625,42.15821647644043,9.561298505035476,7,348,1.5,"149.7613691134626 ,240.24383721365706 ,251.30778232821876 ,272.2730005105939 ,353.43143588337455",253.40348500986138
8,8,중곡4동,용마산로34길,중곡4동 289-2,중곡4동 287-2,37.5699793510196,127.086407091024,37.5698886396351,127.088329606231,37.56993399532735,127.0873683486275,41.06290054321289,68.14154815673828,27.07864761352539,9.064065410739971,8,187,1,"313.2629043538261 ,330.8224886441165 ,336.5261304292918 ,318.1892541931473 ,340.33869023051625",327.8278935701796
9,9,중곡4동,용마산로32길,중곡4동 289-10,중곡4동 294-1,37.5694441209076,127.086337197682,37.5692538216305,127.088539171407,37.56934897126905,127.08743818454452,36.33494567871094,73.17015838623047,36.83521270751953,10.68522086925315,9,237,1,"241.91251762926333 ,275.0745484209479 ,284.9687681752659 ,350.5535179582566 ,361.90109175901665",302.8820887885501
