중점_위도,중점_경도,경사각,최근접_시설의_평균거리,열선여부,원본여부,최적모델_예측값
37.5304415,127.071654,2.74344670533506,260.22332215905544,0.0,1,1
37.53189775,127.08619475,1.6028768066862766,72.1694622219831,0.0,1,1
37.5321111,127.08661135,3.3522777585357426,101.18584992266452,0.0,1,1
37.53233265,127.08701715,2.6591077369671554,140.82966492125772,0.0,1,1
37.53005425,127.0823668,1.3366987930441276,124.84182452803245,0.0,1,1
37.5314152,127.08470135,2.193750356722869,111.73424003938324,0.0,1,1
37.5637592,127.0846682,2.499841383050224,157.81868496067733,0.0,1,1
37.54227315,127.08515135,2.8559718493878035,158.38453952551453,0.0,1,1
37.547301399999995,127.09821525,8.949707926937384,286.51707534008847,0.0,1,1
37.54681255,127.0980136,2.3610280610345447,274.18377990230607,0.0,1,1
37.54736145,127.0982235,4.666761365201575,288.4011628285073,0.0,1,1
37.547489350000006,127.0981729,4.460789951208738,293.48741548360715,0.0,1,1
37.54751855000001,127.09826535,7.050127287364366,293.1643206693187,0.0,1,1
