중점_위도,중점_경도,경사각,최근접_시설의_평균거리,열선여부,원본여부,최적모델_예측값
37.53417915,127.09166965,0.7928427054534269,76.95549629298361,0.0,1,1.0
37.533649,127.09090595,4.912494796048428,103.5077938451468,0.0,1,1.0
37.53417915,127.09166965,0.7928427054534269,76.95549629298361,0.0,1,1.0
37.53233265,127.08701715,2.6591077369671554,140.82966492125772,0.0,1,1.0
37.533649,127.09090595,4.912494796048428,103.5077938451468,0.0,1,1.0
37.5308071,127.0794767,6.186301123600563,238.83270901708835,0.0,1,1.0
37.5308071,127.0794767,6.186301123600563,238.83270901708835,0.0,1,1.0
37.5355047,127.0899985,2.0229753652840587,182.546685384675,0.0,1,1.0
37.5355047,127.0899985,2.0229753652840587,182.546685384675,0.0,1,1.0
37.54212435,127.08279315,2.443912216867828,164.4070049534742,0.0,1,1.0
37.54212435,127.08279315,2.443912216867828,164.4070049534742,0.0,1,1.0
37.544091249999994,127.0844415,0.9696984651470144,211.29468994107089,0.0,1,1.0
37.5447824,127.08224765,2.6682030734432565,207.9953381578175,0.0,1,1.0
37.54832765,127.0870183,1.9695004890901209,158.29592336589192,0.0,1,1.0
37.5447824,127.08224765,2.6682030734432565,207.9953381578175,0.0,1,1.0
37.570078249999995,127.08648725,8.190987982880355,287.09299166718665,0.0,1,1.0
37.5407441,127.08072495,2.693971126331858,201.60403999455835,0.0,1,1.0
37.5407441,127.08072495,2.693971126331858,201.60403999455835,0.0,1,1.0
37.5693778,127.08401215,3.918198281378514,210.2787947294619,0.0,1,1.0
37.5693778,127.08401215,3.918198281378514,210.2787947294619,0.0,1,1.0
37.56155355,127.0847633,2.2269793821691732,134.662954767028,0.0,1,1.0
37.56155355,127.0847633,2.2269793821691732,134.662954767028,0.0,1,1.0
37.5637592,127.0846682,2.499841383050224,157.81868496067733,0.0,1,1.0
37.561914,127.086132,1.842377146360629,110.8015391265876,0.0,1,1.0
37.5616962,127.08630715,2.339320659205403,126.52043310231534,0.0,1,1.0
37.56259625,127.08587785,1.4236851261976968,116.58206687902128,0.0,1,1.0
37.56259625,127.08587785,1.4236851261976968,116.58206687902128,0.0,1,1.0
37.561914,127.086132,1.842377146360629,110.8015391265876,0.0,1,1.0
37.560424600000005,127.0869013,3.126103356842996,232.2882803638443,0.0,1,1.0
37.560424600000005,127.0869013,3.126103356842996,232.2882803638443,0.0,1,1.0
37.5599191,127.09173145,6.641508571127351,137.36485403359626,0.0,1,1.0
37.5599191,127.09173145,6.641508571127351,137.36485403359626,0.0,1,1.0
37.55739715,127.08976325,1.591487969285024,132.97570145299824,0.0,1,1.0
37.55032115,127.09580645,2.3583754168755195,275.16430191080553,0.0,1,1.0
37.55238965,127.09149655,1.5181568076710683,89.87414714167349,0.0,1,1.0
37.55238965,127.09149655,1.5181568076710683,89.87414714167349,0.0,1,1.0
37.55219465,127.09197695,0.6414703626790966,65.52265593441227,0.0,1,1.0
37.5544158,127.0957322,4.42628771700489,252.1539615440804,0.0,1,1.0
37.55621895,127.09421595,4.674918971442941,218.6931420473648,0.0,1,1.0
37.55621895,127.09421595,4.674918971442941,218.6931420473648,0.0,1,1.0
37.5544158,127.0957322,4.42628771700489,252.1539615440804,0.0,1,1.0
37.5508144,127.09544325,4.924441620051565,253.13316533584504,0.0,1,1.0
37.55032115,127.09580645,2.3583754168755195,275.16430191080553,0.0,1,1.0
37.5508144,127.09544325,4.924441620051565,253.13316533584504,0.0,1,1.0
37.55871435,127.0935579,5.00310393681187,164.42627052250765,0.0,1,1.0
37.55871435,127.0935579,5.00310393681187,164.42627052250765,0.0,1,1.0
37.5452754,127.0780169,5.670718525678559,294.1219332159844,0.0,1,1.0
37.544091249999994,127.0844415,0.9696984651470144,211.29468994107089,0.0,1,1.0
37.5452754,127.0780169,5.670718525678559,294.1219332159844,0.0,1,1.0
37.570078249999995,127.08648725,8.190987982880355,287.09299166718665,0.0,1,1.0
37.55219465,127.09197695,0.6414703626790966,65.52265593441227,0.0,1,1.0
37.55739715,127.08976325,1.591487969285024,132.97570145299824,0.0,1,1.0
37.54832765,127.0870183,1.9695004890901209,158.29592336589192,0.0,1,1.0
37.54681255,127.0980136,2.3610280610345447,274.18377990230607,0.0,1,1.0
37.5616962,127.08630715,2.339320659205403,126.52043310231534,0.0,1,1.0
