중점_위도,중점_경도,경사각,최근접_시설의_평균거리,열선여부,원본여부,최적모델_예측값
37.55898155,127.0916782,5.884707294219473,96.85255658819796,0.0,1,1
37.53121675,127.0743234,0.5883395784964194,133.09703114544826,0.0,1,1
37.53121675,127.0743234,0.5883395784964194,133.09703114544826,0.0,1,1
37.53189775,127.08619475,1.6028768066862766,72.1694622219831,0.0,1,1
37.5321111,127.08661135,3.3522777585357426,101.18584992266452,0.0,1,1
37.5322185,127.0862569,2.354751948717691,92.22242368031516,0.0,1,1
37.5322185,127.0862569,2.354751948717691,92.22242368031516,0.0,1,1
37.53058075,127.07567335,0.4864361328462258,98.99433413609172,0.0,1,1
37.53058075,127.07567335,0.4864361328462258,98.99433413609172,0.0,1,1
37.54125015,127.08341625,3.66252428841424,159.26048401245993,0.0,1,1
37.56348805,127.08868005,9.013829598523683,94.97276048785288,0.0,1,1
37.55964835,127.08819495,4.237466349390312,178.85876380930569,0.0,1,1
37.56866725,127.0874697,10.84765056901887,208.35031305640956,0.0,1,1
37.56348805,127.08868005,9.013829598523683,94.97276048785288,0.0,1,1
37.567634850000005,127.08802375,6.912725702157957,143.4511264167878,0.0,1,1
37.567634850000005,127.08802375,6.912725702157957,143.4511264167878,0.0,1,1
37.5624579,127.08813665,10.981311063199474,144.46297834583436,0.0,1,1
37.5617583,127.08761675,5.596270727925642,173.62098283414792,0.0,1,1
37.5617583,127.08761675,5.596270727925642,173.62098283414792,0.0,1,1
37.55964835,127.08819495,4.237466349390312,178.85876380930569,0.0,1,1
37.5596353,127.0916745,5.676657631809165,113.39303422423828,0.0,1,1
37.55898155,127.0916782,5.884707294219473,96.85255658819796,0.0,1,1
37.55303065,127.09170065,0.1809889560604536,79.95543700140682,0.0,1,1
37.55303065,127.09170065,0.1809889560604536,79.95543700140682,0.0,1,1
37.55300515,127.09531545,7.899043317716056,192.34825330944815,0.0,1,1
37.5530381,127.0947516,6.586783707970088,169.6616377123691,0.0,1,1
37.5530381,127.0947516,6.586783707970088,169.6616377123691,0.0,1,1
37.5534914,127.09544195,11.701864799202294,192.3789029441933,0.0,1,1
37.55174785,127.09370005,6.156829248012934,158.71145534957867,0.0,1,1
37.55174785,127.09370005,6.156829248012934,158.71145534957867,0.0,1,1
37.55300515,127.09531545,7.899043317716056,192.34825330944815,0.0,1,1
37.57014995,127.0855884,6.706307813256267,282.47483503574756,0.0,1,1
37.57014995,127.0855884,6.706307813256267,282.47483503574756,0.0,1,1
37.56866725,127.0874697,10.84765056901887,208.35031305640956,0.0,1,1
37.5624579,127.08813665,10.981311063199474,144.46297834583436,0.0,1,1
37.5534914,127.09544195,11.701864799202294,192.3789029441933,0.0,1,1
37.5596353,127.0916745,5.676657631809165,113.39303422423828,0.0,1,1
37.54125015,127.08341625,3.66252428841424,159.26048401245993,0.0,1,1
37.56534015,127.0885666,8.774554169016232,182.80601835061088,0.0,1,1
37.56534015,127.0885666,8.774554169016232,182.80601835061088,0.0,1,1
