중점_위도,중점_경도,경사각,최근접_시설의_평균거리,열선여부,원본여부,최적모델_예측값
37.53189775,127.08619475,1.6028768066862766,16.088910597747702,0.0,1,1.0
37.53288805,127.08832045,2.0776397918977767,148.92659551524767,0.0,1,1.0
37.5321111,127.08661135,3.3522777585357426,38.327039065827826,0.0,1,1.0
37.53233265,127.08701715,2.6591077369671554,81.23074944434055,0.0,1,1.0
37.56354325,127.08527805,2.1046540955952615,114.07848958995892,0.0,1,1.0
37.54227315,127.08515135,2.8559718493878035,132.87901894610127,0.0,1,1.0
37.54704135,127.10217675,1.6718443747004097,108.6017052932558,0.0,1,1.0
37.547301399999995,127.09821525,8.949707926937384,260.5043807192438,0.0,1,1.0
37.547489350000006,127.0981729,4.460789951208738,275.1191214921568,0.0,1,1.0
37.54751855000001,127.09826535,7.050127287364366,255.69125620435224,0.0,1,1.0
