,학교구분,학교명,학교_위치,위도,경도
0,각종학교(중),선화예술중학교,"37.5509798002896, 127.087095159462",37.5509798002896,127.087095159462
1,초등학교,서울숭신초등학교,"37.5676883077439, 127.028005141452",37.5676883077439,127.028005141452
2,중학교,행당중학교,"37.5545540364985, 127.041963387397",37.5545540364985,127.041963387397
3,중학교,한양대학교사범대학부속중학교,"37.5619188387132, 127.042324044658",37.5619188387132,127.042324044658
4,중학교,자양중학교,"37.5357298982053, 127.074368913785",37.5357298982053,127.074368913785
5,중학교,용곡중학교,"37.5658339893237, 127.089275266763",37.5658339893237,127.089275266763
6,중학교,옥정중학교,"37.5416703705205, 127.012983234555",37.5416703705205,127.012983234555
7,중학교,양진중학교,"37.5449782076528, 127.098714317037",37.5449782076528,127.098714317037
8,중학교,신양중학교,"37.5336522682692, 127.063425269386",37.5336522682692,127.063425269386
9,중학교,성원중학교,"37.5394518246786, 127.051383529488",37.5394518246786,127.051383529488
10,중학교,성수중학교,"37.5473418143935, 127.038253431317",37.5473418143935,127.038253431317
11,중학교,무학중학교,"37.557701190017, 127.031992242352",37.557701190017,127.031992242352
12,중학교,마장중학교,"37.5683388716972, 127.041605053834",37.5683388716972,127.041605053834
13,중학교,대원국제중학교,"37.5624502219725, 127.089376716312",37.5624502219725,127.089376716312
14,중학교,동마중학교,"37.5628025060626, 127.040351173206",37.5628025060626,127.040351173206
15,중학교,동국대학교사범대학부속여자중학교,"37.5419293578309, 127.086973061678",37.5419293578309,127.086973061678
16,중학교,구의중학교,"37.5428503028479, 127.078840375276",37.5428503028479,127.078840375276
17,중학교,광희중학교,"37.5511545255411, 127.033980048989",37.5511545255411,127.033980048989
18,중학교,광진중학교,"37.5322195901849, 127.090162126057",37.5322195901849,127.090162126057
19,중학교,광장중학교,"37.5471775185817, 127.101927589353",37.5471775185817,127.101927589353
20,중학교,광양중학교,"37.5308913414973, 127.08616998675",37.5308913414973,127.08616998675
21,중학교,광남중학교,"37.5408304051926, 127.101643877784",37.5408304051926,127.101643877784
22,중학교,경일중학교,"37.5438083798316, 127.047853796815",37.5438083798316,127.047853796815
23,중학교,경수중학교,"37.5395090367488, 127.059271203056",37.5395090367488,127.059271203056
24,중학교,건국대학교사범대학부속중학교,"37.5417240729902, 127.081597057268",37.5417240729902,127.081597057268
25,초등학교,한양초등학교,"37.5576210338606, 127.050263444631",37.5576210338606,127.050263444631
26,초등학교,세종초등학교,"37.5530110986438, 127.072864629554",37.5530110986438,127.072864629554
27,초등학교,성동초등학교,"37.5332813682573, 127.089281026795",37.5332813682573,127.089281026795
28,초등학교,서울행현초등학교,"37.5577089897922, 127.0293680158",37.5577089897922,127.0293680158
29,초등학교,서울행당초등학교,"37.5570191301189, 127.034873404864",37.5570191301189,127.034873404864
30,초등학교,서울중마초등학교,"37.5661150659734, 127.080023721804",37.5661150659734,127.080023721804
31,초등학교,서울중광초등학교,"37.565172983593, 127.082512285004",37.565172983593,127.082512285004
32,초등학교,서울장안초등학교,"37.549876450253, 127.072402467919",37.549876450253,127.072402467919
33,초등학교,서울자양초등학교,"37.5368378891148, 127.080107720459",37.5368378891148,127.080107720459
34,초등학교,서울응봉초등학교,"37.5502533901839, 127.033829695602",37.5502533901839,127.033829695602
35,초등학교,서울용마초등학교,"37.5578273465317, 127.083527417056",37.5578273465317,127.083527417056
36,초등학교,서울용답초등학교,"37.5607271218686, 127.053760797077",37.5607271218686,127.053760797077
37,초등학교,서울용곡초등학교,"37.5671086161443, 127.088452984118",37.5671086161443,127.088452984118
38,초등학교,서울옥정초등학교,"37.5423097389598, 127.015785478614",37.5423097389598,127.015785478614
39,초등학교,서울옥수초등학교,"37.5455293912538, 127.021869551034",37.5455293912538,127.021869551034
40,초등학교,서울양진초등학교,"37.5449782076528, 127.098714317037",37.5449782076528,127.098714317037
41,초등학교,서울양남초등학교,"37.5311232360546, 127.089234331023",37.5311232360546,127.089234331023
42,초등학교,서울신자초등학교,"37.5302454529249, 127.075587591515",37.5302454529249,127.075587591515
43,초등학교,서울신양초등학교,"37.5346820949284, 127.0699952764",37.5346820949284,127.0699952764
44,초등학교,서울송원초등학교,"37.5541592708709, 127.069526172922",37.5541592708709,127.069526172922
45,초등학교,서울성자초등학교,"37.531493571169, 127.083408323591",37.531493571169,127.083408323591
46,초등학교,서울성수초등학교,"37.5443378762673, 127.062886077541",37.5443378762673,127.062886077541
47,초등학교,서울사근초등학교,"37.5626797138007, 127.047573849243",37.5626797138007,127.047573849243
48,초등학교,서울무학초등학교,"37.5632747388032, 127.029643655901",37.5632747388032,127.029643655901
49,초등학교,서울마장초등학교,"37.5683388716972, 127.041605053834",37.5683388716972,127.041605053834
50,초등학교,서울동호초등학교,"37.5462920770572, 127.009879731064",37.5462920770572,127.009879731064
51,초등학교,서울동자초등학교,"37.5350582094918, 127.072179165371",37.5350582094918,127.072179165371
52,초등학교,서울동의초등학교,"37.5534224448219, 127.099047310011",37.5534224448219,127.099047310011
53,초등학교,서울동명초등학교,"37.5681228514315, 127.035108248567",37.5681228514315,127.035108248567
54,초등학교,서울금호초등학교,"37.5518979414195, 127.020752859362",37.5518979414195,127.020752859362
55,초등학교,서울금옥초등학교,"37.5463023672305, 127.017491634615",37.5463023672305,127.017491634615
56,초등학교,서울금북초등학교,"37.5574954945237, 127.023556547484",37.5574954945237,127.023556547484
57,초등학교,서울구의초등학교,"37.5430074366803, 127.08031177586",37.5430074366803,127.08031177586
58,초등학교,서울구남초등학교,"37.5370965949427, 127.092288798461",37.5370965949427,127.092288798461
59,초등학교,서울광진초등학교,"37.5476114602117, 127.091332532375",37.5476114602117,127.091332532375
60,초등학교,서울광장초등학교,"37.5485492186653, 127.101799885644",37.5485492186653,127.101799885644
61,초등학교,서울광남초등학교,"37.5409675314785, 127.100704228215",37.5409675314785,127.100704228215
62,초등학교,서울경일초등학교,"37.5409418986185, 127.046605149237",37.5409418986185,127.046605149237
63,초등학교,서울경수초등학교,"37.5404366739206, 127.058066769768",37.5404366739206,127.058066769768
64,초등학교,서울경동초등학교,"37.5438252989974, 127.050074037135",37.5438252989974,127.050074037135
65,초등학교,경복초등학교,"37.5498138606171, 127.086793350213",37.5498138606171,127.086793350213
66,중학교,중앙대학교사범대학부속중학교,"37.503629418993, 126.961732578732",37.503629418993,126.961732578732
67,중학교,장승중학교,"37.5031485833795, 126.940834004372",37.5031485833795,126.940834004372
68,중학교,인헌중학교,"37.4726853122526, 126.968848481233",37.4726853122526,126.968848481233
69,중학교,영등포중학교,"37.5080854131193, 126.933143709837",37.5080854131193,126.933143709837
70,중학교,신림중학교,"37.4703273364656, 126.946003990797",37.4703273364656,126.946003990797
71,중학교,신관중학교,"37.4802012453571, 126.934452241482",37.4802012453571,126.934452241482
72,중학교,숭의여자중학교,"37.507364139341, 126.92924328346",37.507364139341,126.92924328346
73,중학교,성보중학교,"37.4807283676946, 126.920957326353",37.4807283676946,126.920957326353
74,중학교,성남중학교,"37.5052815748623, 126.926615278225",37.5052815748623,126.926615278225
75,중학교,서울문영여자중학교,"37.4729045674501, 126.950918062755",37.4729045674501,126.950918062755
76,중학교,상현중학교,"37.4941557795456, 126.960607735677",37.4941557795456,126.960607735677
77,중학교,상도중학교,"37.4909219003444, 126.961475595626",37.4909219003444,126.961475595626
78,중학교,삼성중학교,"37.4676058987272, 126.942513213832",37.4676058987272,126.942513213832
